OBJECTID,COLDETKEY,ST_PARTCPNT_TYPE_DESC,ST_POSTEDSPD,ST_RDSURF_DESC,ST_TRAFCONTRL_DESC,ST_VEH_ACT_DESC,ST_VEH_CND_DESC,ST_VEH_TYPE_DESC,Incident Date,Report Number,x,y
2115728,381513,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/28/2025,EF61126,-122.3661932,47.66943614
2115729,381513,Vehicle,,Blacktop,No Traffic Control,Stopped in Roadway,No Defects,Passenger Car,1/28/2025,EF61126,-122.3661932,47.66943614
2115730,381513,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/28/2025,EF61126,-122.3661932,47.66943614
2115731,381305,Vehicle,25,Blacktop,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/26/2025,3924408,-122.3430674,47.61250758
2115732,381305,Vehicle,25,Blacktop,Signals,Changing Lanes,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/26/2025,3924408,-122.3430674,47.61250758
2115752,381695,Vehicle,,Unknown,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/16/2025,EF74990,-122.3242992,47.63537488
2115753,381695,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/16/2025,EF74990,-122.3242992,47.63537488
2115754,380384,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/16/2025,3916215,-122.3761498,47.56929866
2115755,380384,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/16/2025,3916215,-122.3761498,47.56929866
2115759,381506,Vehicle,,Blacktop,Stop Sign,Starting in Traffic Lane,No Defects,Passenger Car,3/13/2025,EF73780,-122.4107541,47.57591176
2115760,381506,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/13/2025,EF73780,-122.4107541,47.57591176
2115761,381506,Vehicle,,Blacktop,Stop Sign,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/13/2025,EF73780,-122.4107541,47.57591176
2115764,380405,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,1/24/2025,3930344,-122.270003,47.52994707
2115789,381298,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/28/2025,EF70368,-122.2776477,47.54970882
2115790,381990,Vehicle,25,Blacktop,No Traffic Control,Making Left Turn,No Defects,Passenger Car,3/26/2025,EF78410,-122.2880258,47.56346233
2115791,381990,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/26/2025,EF78410,-122.2880258,47.56346233
2115793,380097,Vehicle,25,Blacktop,No Traffic Control,Negotiatng a Curve,No Defects,Not Stated,1/4/2025,3928393,-122.2901702,47.6637589
2115794,380097,Vehicle,25,Blacktop,No Traffic Control,"Legally Parked, Unoccupied",No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/4/2025,3928393,-122.2901702,47.6637589
2115795,380779,Vehicle,25,Blacktop,Signals,Ovetaking and Passing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/9/2025,EF64094,-122.3487609,47.61470148
2115796,380779,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/9/2025,EF64094,-122.3487609,47.61470148
2115799,382156,Vehicle,,Concrete,No Traffic Control,Backing,No Defects,Passenger Car,1/29/2025,3930961,-122.3127707,47.58101746
2115800,382156,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/29/2025,3930961,-122.3127707,47.58101746
2115801,380576,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,1/31/2025,3903111,-122.350459,47.53774807
2115802,380576,Vehicle,,,,Other,,Not Stated,1/31/2025,3903111,-122.350459,47.53774807
2115806,381284,Vehicle,20,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/27/2025,EF70722,-122.3013313,47.54534932
2115807,381284,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/27/2025,EF70722,-122.3013313,47.54534932
2115808,381284,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/27/2025,EF70722,-122.3013313,47.54534932
2115814,380697,Vehicle,20,Concrete,No Traffic Control,Slowing,No Defects,Passenger Car,1/21/2025,EF58351,-122.3649795,47.65064052
2115815,380697,Vehicle,20,Concrete,No Traffic Control,Slowing,No Defects,Passenger Car,1/21/2025,EF58351,-122.3649795,47.65064052
2115816,380697,Vehicle,20,Concrete,No Traffic Control,Slowing,No Defects,Passenger Car,1/21/2025,EF58351,-122.3649795,47.65064052
2115817,380697,Vehicle,20,Concrete,No Traffic Control,Slowing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/21/2025,EF58351,-122.3649795,47.65064052
2115818,380697,Vehicle,20,Concrete,No Traffic Control,Slowing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/21/2025,EF58351,-122.3649795,47.65064052
2115828,380722,Vehicle,,Blacktop,No Traffic Control,Making Left Turn,No Defects,Passenger Car,1/26/2025,EF59596,-122.3269894,47.68592862
2115838,381496,Vehicle,25,Blacktop,No Traffic Control,Changing Lanes,No Defects,Passenger Car,1/29/2025,EF61146,-122.3342186,47.57404984
2115839,381496,Vehicle,25,Blacktop,No Traffic Control,Changing Lanes,No Defects,Passenger Car,1/29/2025,EF61146,-122.3342186,47.57404984
2115851,380175,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/20/2025,EF58150,-122.3292377,47.609609
2115852,380175,Vehicle,,Concrete,No Traffic Control,Starting From Parked Position,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/20/2025,EF58150,-122.3292377,47.609609
2115853,380175,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,1/20/2025,EF58150,-122.3292377,47.609609
2115854,380175,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/20/2025,EF58150,-122.3292377,47.609609
2115855,380175,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,1/20/2025,EF58150,-122.3292377,47.609609
2115856,380056,Vehicle,25,Blacktop,,Going Straight Ahead,No Defects,Passenger Car,1/4/2025,3930544,-122.3781272,47.56108146
2115866,380707,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/8/2025,3933336,-122.3676805,47.63686127
2115867,380707,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/8/2025,3933336,-122.3676805,47.63686127
2115875,381449,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/8/2025,3838034,-122.3061973,47.59589753
