OBJECTID,COLDETKEY,ST_PARTCPNT_TYPE_DESC,ST_POSTEDSPD,ST_RDSURF_DESC,ST_TRAFCONTRL_DESC,ST_VEH_ACT_DESC,ST_VEH_CND_DESC,ST_VEH_TYPE_DESC,Incident Date,Report Number,x,y
2118730,381982,Vehicle,,Concrete,Signals,Making Right Turn,No Defects,Passenger Car,3/25/2025,EF77159,-122.3813972,47.56127503
2118741,384740,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,6/9/2025,EG01259,-122.2707084,47.52331391
2118743,380867,Vehicle,25,Blacktop,No Traffic Control,Making U-Turn,No Defects,Passenger Car,2/11/2025,EF65799,-122.3259964,47.57271386
2118744,384740,Vehicle,25,Blacktop,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",6/9/2025,EG01259,-122.2707084,47.52331391
2118746,380867,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/11/2025,EF65799,-122.3259964,47.57271386
2118747,382101,Vehicle,25,Concrete,Signals,Going Straight Ahead,,Passenger Car,3/23/2025,3931636,-122.2767553,47.54743736
2118750,382101,Vehicle,25,Concrete,Signals,Stopped at Signal or Stop Sign,No Defects,Passenger Car,3/23/2025,3931636,-122.2767553,47.54743736
2118752,384476,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,7/19/2025,EG11682,-122.325677,47.6576989
2118754,384476,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,7/19/2025,EG11682,-122.325677,47.6576989
2118755,384476,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,7/19/2025,EG11682,-122.325677,47.6576989
2118760,381721,Vehicle,,Blacktop,Stop Sign,Making Right Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/17/2025,EF76170,-122.2827581,47.66128069
2118763,381721,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/17/2025,EF76170,-122.2827581,47.66128069
2118764,380136,Vehicle,,Concrete,,Going Straight Ahead,,Passenger Car,1/20/2025,3916217,-122.3802635,47.55659503
2118766,380974,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/22/2025,EF68060,-122.3133914,47.5755478
2118767,380136,Vehicle,,Concrete,,Making Left Turn,Defective Headlights,Passenger Car,1/20/2025,3916217,-122.3802635,47.55659503
2118769,380136,Vehicle,,Concrete,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/20/2025,3916217,-122.3802635,47.55659503
2118771,380107,Vehicle,25,Concrete,Signals,Changing Lanes,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/3/2025,3924360,-122.3266988,47.59240235
2118773,380974,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,2/22/2025,EF68060,-122.3133914,47.5755478
2118774,380107,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/3/2025,3924360,-122.3266988,47.59240235
2118776,380974,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/22/2025,EF68060,-122.3133914,47.5755478
2118777,381952,Vehicle,25,Blacktop,Yield Sign,Merging (Entering Traffic),No Defects,"Truck (Flatbed, Van, etc)",3/18/2025,EF75231,-122.3683718,47.62659019
2118780,381952,Vehicle,25,Blacktop,Yield Sign,Stopped for Traffic,No Defects,Passenger Car,3/18/2025,EF75231,-122.3683718,47.62659019
2118783,384929,Vehicle,25,Concrete,No Traffic Control,Other,No Defects,Passenger Car,7/27/2025,3937245,-122.3134905,47.61292026
2118784,381718,Vehicle,20,Concrete,,Going Straight Ahead,Tires Punctured or Blown,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/27/2025,3930348,-122.3176245,47.6917393
2118785,384929,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",7/27/2025,3937245,-122.3134905,47.61292026
2118786,381718,Vehicle,20,Concrete,,"Legally Parked, Unoccupied",,Passenger Car,2/27/2025,3930348,-122.3176245,47.6917393
2118787,381718,Vehicle,20,Concrete,,"Legally Parked, Unoccupied",,Passenger Car,2/27/2025,3930348,-122.3176245,47.6917393
2118788,384929,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",7/27/2025,3937245,-122.3134905,47.61292026
2118793,379760,Vehicle,,Blacktop,No Traffic Control,Making Right Turn,Tires Punctured or Blown,Passenger Car,1/5/2025,EF53407,-122.3762255,47.67564152
2118798,382140,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/28/2025,3926308,-122.3620306,47.57016428
2118800,382140,Vehicle,25,Concrete,No Traffic Control,Slowing,No Defects,Passenger Car,2/28/2025,3926308,-122.3620306,47.57016428
2118802,381761,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,3/17/2025,3926277,-122.3596336,47.52286785
2118804,381761,Vehicle,25,Concrete,Signals,Stopped for Traffic,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/17/2025,3926277,-122.3596336,47.52286785
2118812,381592,Vehicle,35,Concrete,Signals,Going Straight Ahead,Other Defects,Passenger Car,3/15/2025,3926275,-122.3854729,47.56107752
2118813,383485,Vehicle,35,Blacktop,Signals,Making Right Turn,No Defects,Passenger Car,12/30/2024,EF52742,-122.3762275,47.65353049
2118815,381592,Vehicle,35,Concrete,Signals,Going Straight Ahead,Other Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/15/2025,3926275,-122.3854729,47.56107752
2118816,383485,Vehicle,35,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,12/30/2024,EF52742,-122.3762275,47.65353049
2118818,384744,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",6/9/2025,EG01483,-122.3276818,47.5992006
2118820,382100,Vehicle,25,Blacktop,No Traffic Control,Making Right Turn,No Defects,"Truck (Flatbed, Van, etc)",3/18/2025,3908242,-122.3911102,47.51447549
2118822,384744,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,Passenger Car,6/9/2025,EG01483,-122.3276818,47.5992006
2118823,380676,Vehicle,,Blacktop,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/8/2025,3926302,-122.3348562,47.52232801
2118825,382131,Vehicle,30,Concrete,No Traffic Control,Negotiatng a Curve,No Defects,Passenger Car,3/17/2025,3922590,-122.3351595,47.53916011
2118826,380676,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,2/8/2025,3926302,-122.3348562,47.52232801
2118831,381085,Vehicle,25,Blacktop,Stop Sign,Starting in Traffic Lane,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/23/2025,3930345,-122.3930152,47.69057782
2118833,381085,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/23/2025,3930345,-122.3930152,47.69057782
2118836,383210,Vehicle,,Unknown,No Traffic Control,Going Straight Ahead,No Defects,Bus or Motor Stage,5/15/2025,EF92141,,
2118837,380646,Vehicle,30,Concrete,No Traffic Control,Making Left Turn,No Defects,Passenger Car,1/20/2025,3932098,-122.3267745,47.58618078
2118839,383210,Vehicle,,,,"Legally Parked, Unoccupied",,"Truck (Flatbed, Van, etc)",5/15/2025,EF92141,,
2118840,380646,Vehicle,30,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/20/2025,3932098,-122.3267745,47.58618078
2118852,380137,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Not Stated,1/20/2025,3924336,-122.3252831,47.64203589
2118854,380137,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Occupied",No Defects,Passenger Car,1/20/2025,3924336,-122.3252831,47.64203589
2118856,384757,Vehicle,,Blacktop,Signals,Starting in Traffic Lane,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/23/2025,EF60306,-122.3335521,47.59920954
2118858,384721,Vehicle,25,Concrete,,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",7/19/2025,3937205,-122.317561,47.6176014
2118859,380555,Vehicle,25,Brick or Wood Block,Signals,Going Straight Ahead,No Defects,Passenger Car,2/2/2025,3924340,-122.3376068,47.61121305
2118861,384721,Vehicle,25,Concrete,,"Legally Parked, Occupied",No Defects,Passenger Car,7/19/2025,3937205,-122.317561,47.6176014
2118862,380555,Vehicle,25,Brick or Wood Block,Signals,Going Straight Ahead,No Defects,Passenger Car,2/2/2025,3924340,-122.3376068,47.61121305
2118874,381796,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,2/2/2025,EF62299,-122.3333812,47.6049162
2118876,383654,Vehicle,25,Concrete,No Traffic Control,Backing,No Defects,Passenger Car,5/25/2025,3931853,-122.295839,47.54199218
2118877,381796,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/2/2025,EF62299,-122.3333812,47.6049162
2118878,380101,Vehicle,,Concrete,,"Legally Parked, Unoccupied",No Defects,Passenger Car,1/3/2025,3930334,-122.3477867,47.73168265
2118879,383654,Vehicle,,Concrete,,"Legally Parked, Unoccupied",No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/25/2025,3931853,-122.295839,47.54199218
2118880,380101,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/3/2025,3930334,-122.3477867,47.73168265
2118881,381368,Vehicle,25,Concrete,Signals,Making Left Turn,No Defects,Passenger Car,3/6/2025,3929923,-122.2974295,47.59923852
2118882,380101,Vehicle,,Concrete,,"Legally Parked, Unoccupied",No Defects,Passenger Car,1/3/2025,3930334,-122.3477867,47.73168265
2118883,381368,Vehicle,25,Concrete,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/6/2025,3929923,-122.2974295,47.59923852
2118884,380101,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,1/3/2025,3930334,-122.3477867,47.73168265
2118885,382098,Vehicle,25,Blacktop,No Traffic Control,Starting From Parked Position,No Defects,Passenger Car,3/20/2025,EF77937,-122.3397752,47.60687165
2118886,381976,Vehicle,,Blacktop,Signals,Changing Lanes,No Defects,Passenger Car,3/24/2025,EF77123,-122.286106,47.54702006
2118887,380864,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/12/2025,EF65690,-122.3379085,47.61649588
2118888,382098,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/20/2025,EF77937,-122.3397752,47.60687165
2118889,381976,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/24/2025,EF77123,-122.286106,47.54702006
2118890,385676,Vehicle,,Blacktop,Signals,Making Right Turn,No Defects,Not Stated,5/9/2025,EF90922,-122.3307445,47.6154554
2118891,384741,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,6/11/2025,EG01260,-122.2877197,47.53759352
2118894,384741,Vehicle,25,Blacktop,No Traffic Control,Stopped in Roadway,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",6/11/2025,EG01260,-122.2877197,47.53759352
2118897,380618,Vehicle,25,Blacktop,Stop Sign,Going Straight Ahead,No Defects,Passenger Car,1/29/2025,3930086,-122.3472322,47.68476917
2118899,380618,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/29/2025,3930086,-122.3472322,47.68476917
2118902,380544,Vehicle,,Blacktop,No Traffic Control,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/28/2025,3930085,-122.3446057,47.69636578
2118904,380656,Vehicle,20,Blacktop,No Traffic Control,Other,Other Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/8/2025,3929897,-122.3268272,47.61465745
2118905,380544,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/28/2025,3930085,-122.3446057,47.69636578
2118906,381540,Vehicle,25,Blacktop,Stop Sign,Going Straight Ahead,No Defects,Motorcycle,2/28/2025,3931011,-122.3342178,47.57558125
2118907,380656,Vehicle,20,Blacktop,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,2/8/2025,3929897,-122.3268272,47.61465745
2118909,381540,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,2/28/2025,3931011,-122.3342178,47.57558125
2118910,380656,Vehicle,20,Blacktop,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,2/8/2025,3929897,-122.3268272,47.61465745
2118911,382151,Vehicle,25,Concrete,Signals,Changing Lanes,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/21/2025,3929935,-122.3046542,47.64512831
2118912,380656,Vehicle,20,Blacktop,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,2/8/2025,3929897,-122.3268272,47.61465745
2118913,382151,Vehicle,25,Concrete,Signals,Going Straight Ahead,No Defects,Bus or Motor Stage,3/21/2025,3929935,-122.3046542,47.64512831
2118915,380654,Vehicle,5,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/1/2025,3916209,-122.3798365,47.58829929
2118916,384237,Vehicle,,Unknown,No Traffic Control,Other,No Defects,Not Stated,6/6/2025,EG00168,,
2118918,380654,Vehicle,5,Blacktop,Stop Sign,Stopped at Signal or Stop Sign,No Defects,Passenger Car,1/1/2025,3916209,-122.3798365,47.58829929
2118919,384237,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,6/6/2025,EG00168,,
2118921,380122,Vehicle,20,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/7/2025,3930078,-122.2914306,47.72266586
2118922,384481,Vehicle,,Blacktop,No Traffic Control,Changing Lanes,No Defects,Truck Tractor and Semi-Trailer,6/5/2025,EF99186,-122.3267404,47.57141978
2118924,384223,Vehicle,,,,"Legally Parked, Occupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",6/3/2025,EF98257,-122.3005538,47.59810582
2118925,384481,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,6/5/2025,EF99186,-122.3267404,47.57141978
2118927,384223,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,6/3/2025,EF98257,-122.3005538,47.59810582
2118931,381401,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,3/10/2025,EF72652,-122.3163395,47.66568989
2118932,382947,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/18/2025,3928171,-122.3506524,47.52009204
2118935,382947,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/18/2025,3928171,-122.3506524,47.52009204
2118936,380733,Vehicle,45,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/11/2025,3908196,-122.3733987,47.56750115
2118939,380733,Vehicle,45,Concrete,No Traffic Control,Stopped for Traffic,No Defects,Passenger Car,2/11/2025,3908196,-122.3733987,47.56750115
2118940,380130,Vehicle,,,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,1/19/2025,3924335,-122.3434866,47.63474053
2118947,380111,Vehicle,25,Concrete,Stop Sign,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/7/2025,3925935,-122.3172226,47.54956178
2118950,380111,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Truck and Trailer,1/7/2025,3925935,-122.3172226,47.54956178
2118963,384262,Vehicle,25,Brick or Wood Block,Stop Sign,Going Straight Ahead,No Defects,Passenger Car,7/6/2025,3931505,-122.3042724,47.5829564
2118964,384262,Vehicle,25,Brick or Wood Block,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",7/6/2025,3931505,-122.3042724,47.5829564
2118967,384464,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Motorcycle,7/22/2025,EG12118,-122.3762041,47.56408227
2118970,384464,Vehicle,,Blacktop,Signals,Making Left Turn,No Defects,Passenger Car,7/22/2025,EG12118,-122.3762041,47.56408227
2118973,379951,Vehicle,25,Blacktop,No Traffic Control,Starting From Parked Position,,Passenger Car,12/30/2024,3930935,-122.2887627,47.56615137
2118976,381269,Vehicle,,Blacktop,Signals,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/2/2025,EF70414,-122.3313209,47.5448871
2118978,379951,Vehicle,5,,,Going Straight Ahead,No Defects,Passenger Car,12/30/2024,3930935,-122.2887627,47.56615137
2118980,381269,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,3/2/2025,EF70414,-122.3313209,47.5448871
2118981,381740,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/22/2025,3929910,-122.3044149,47.65006613
2118984,381740,Vehicle,25,Blacktop,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/22/2025,3929910,-122.3044149,47.65006613
2118985,380629,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,,Passenger Car,1/18/2025,3930079,-122.2934999,47.70839174
2118987,384931,Vehicle,35,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,8/6/2025,3926072,-122.3494383,47.5557004
2118988,380629,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/18/2025,3930079,-122.2934999,47.70839174
2118990,384931,Vehicle,35,Concrete,No Traffic Control,Stopped for Traffic,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",8/6/2025,3926072,-122.3494383,47.5557004
2118991,382583,Vehicle,25,Blacktop,Stop Sign,Making Left Turn,No Defects,Passenger Car,5/5/2025,EF88809,-122.3000528,47.54541152
2118992,381738,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/22/2025,EF76172,-122.3660192,47.68583602
2118993,382583,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/5/2025,EF88809,-122.3000528,47.54541152
2118994,381738,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/22/2025,EF76172,-122.3660192,47.68583602
2118995,381958,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/23/2025,3931703,-122.2668761,47.53353515
2118998,381958,Vehicle,25,Concrete,No Traffic Control,"Legally Parked, Unoccupied",No Defects,Passenger Car,3/23/2025,3931703,-122.2668761,47.53353515
2119003,383843,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/29/2025,EF97003,-122.2752234,47.52218121
2119006,383843,Vehicle,25,Blacktop,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/29/2025,EF97003,-122.2752234,47.52218121
2119007,380628,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/23/2025,3932186,-122.2879736,47.54609164
2119009,380628,Vehicle,25,Concrete,No Traffic Control,Slowing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/23/2025,3932186,-122.2879736,47.54609164
2119010,384056,Vehicle,45,Concrete,,Negotiatng a Curve,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/29/2025,3932581,-122.3609734,47.57159928
2119012,381735,Vehicle,20,Blacktop,No Traffic Control,Other,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/15/2025,3930092,-122.3602849,47.72507874
2119021,380106,Vehicle,25,Concrete,Signals,Other,No Defects,Passenger Car,1/9/2025,3916213,-122.381471,47.56111314
2119023,380106,Vehicle,25,Concrete,Signals,Stopped at Signal or Stop Sign,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/9/2025,3916213,-122.381471,47.56111314
2119025,383808,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/27/2025,EF96998,-122.3290728,47.58507937
2119028,383808,Vehicle,,Blacktop,Signals,Stopped at Signal or Stop Sign,No Defects,Passenger Car,5/27/2025,EF96998,-122.3290728,47.58507937
2119029,381660,Vehicle,25,Concrete,Stop Sign,Merging (Entering Traffic),No Defects,Passenger Car,3/20/2025,3931702,-122.3294099,47.5659699
2119030,381589,Vehicle,25,Blacktop,Signals,Other,No Defects,Passenger Car,3/8/2025,3929925,-122.313422,47.59833692
2119031,381774,Vehicle,25,Blacktop,,Going Straight Ahead,No Defects,Passenger Car,3/18/2025,3933371,-122.3929869,47.64173843
2119032,381660,Vehicle,25,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,3/20/2025,3931702,-122.3294099,47.5659699
2119033,384495,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",6/3/2025,EF99337,-122.3152945,47.68309195
2119036,384495,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,6/3/2025,EF99337,-122.3152945,47.68309195
2119043,385448,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",6/10/2025,EG01822,-122.3445036,47.63759339
2119045,381941,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,3/19/2025,EF76075,-122.3291499,47.61972073
2119046,383639,Vehicle,30,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/3/2025,EF54574,-122.380934,47.65409067
2119048,383282,Vehicle,25,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,5/25/2025,3936907,-122.3168941,47.70856052
2119049,383639,Vehicle,30,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/3/2025,EF54574,-122.380934,47.65409067
2119051,383282,Vehicle,25,Blacktop,Signals,Stopped for Traffic,No Defects,Passenger Car,5/25/2025,3936907,-122.3168941,47.70856052
2119054,381779,Vehicle,,Unknown,No Traffic Control,Other,No Defects,Not Stated,3/24/2025,EF76506,-122.3845235,47.67597507
2119056,381779,Vehicle,,,,"Legally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/24/2025,EF76506,-122.3845235,47.67597507
2119058,383639,Vehicle,30,Blacktop,Signals,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/3/2025,EF54574,-122.380934,47.65409067
2119063,381802,Vehicle,,Concrete,No Traffic Control,Negotiatng a Curve,No Defects,Passenger Car,2/23/2025,3930671,-122.3355861,47.52178878
2119064,381962,Vehicle,,Blacktop,Signals,Going Straight Ahead,No Defects,Passenger Car,3/25/2025,EF77945,-122.3298373,47.61446292
2119065,384007,Vehicle,35,Concrete,,Going Straight Ahead,No Defects,Truck and Trailer,6/4/2025,3932586,-122.3280466,47.57152523
2119067,384007,Vehicle,35,Concrete,,Slowing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",6/4/2025,3932586,-122.3280466,47.57152523
2119068,380484,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,Defective Brakes,"Pickup, Panel Truck or Vannette Under 10,000 lbs",1/14/2025,EF56577,-122.3202257,47.62958573
2119070,380484,Vehicle,,,,"Legally Parked, Unoccupied",,Passenger Car,1/14/2025,EF56577,-122.3202257,47.62958573
2119073,381755,Vehicle,40,Blacktop,No Traffic Control,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/23/2025,3919597,-122.3362356,47.5519226
2119075,381755,Vehicle,40,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/23/2025,3919597,-122.3362356,47.5519226
2119077,381962,Vehicle,,Blacktop,Signals,Making Left Turn,No Defects,"Truck (Flatbed, Van, etc)",3/25/2025,EF77945,-122.3298373,47.61446292
2119082,381878,Vehicle,,Blacktop,No Traffic Control,Backing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/25/2025,EF78454,-122.3748644,47.66220928
2119083,382135,Vehicle,25,Concrete,No Traffic Control,Making Left Turn,No Defects,Passenger Car,2/10/2025,3930096,-122.3660157,47.68730258
2119084,381878,Vehicle,,Blacktop,No Traffic Control,"Legally Parked, Occupied",No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",3/25/2025,EF78454,-122.3748644,47.66220928
2119085,384484,Vehicle,25,Concrete,No Traffic Control,Making Left Turn,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",7/17/2025,EG11835,-122.3315017,47.61376587
2119086,383614,Vehicle,,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Not Stated,2/23/2025,EF72646,-122.3473533,47.66145067
2119087,380778,Vehicle,25,Blacktop,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/9/2025,EF64093,-122.3609154,47.64453158
2119089,380778,Vehicle,,,,"Illegally Parked, Unoccupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/9/2025,EF64093,-122.3609154,47.64453158
2119091,380368,Vehicle,30,Concrete,No Traffic Control,Going Straight Ahead,,Passenger Car,1/12/2025,3930338,-122.3450519,47.72868336
2119092,381539,Vehicle,,Concrete,Stop Sign,Going Straight Ahead,No Defects,Passenger Car,2/10/2025,3931635,-122.3055771,47.58296137
2119093,382937,Vehicle,25,Concrete,,Going Straight Ahead,Tires Punctured or Blown,Passenger Car,5/1/2025,3914707,-122.3153324,47.5983401
2119094,382296,Vehicle,25,Blacktop,Signals,Changing Lanes,No Defects,Passenger Car,2/14/2025,3924342,-122.3351346,47.61018734
2119095,381539,Vehicle,,Concrete,No Traffic Control,Going Straight Ahead,No Defects,Passenger Car,2/10/2025,3931635,-122.3055771,47.58296137
2119096,382937,Vehicle,,,,"Legally Parked, Occupied",,"Pickup, Panel Truck or Vannette Under 10,000 lbs",5/1/2025,3914707,-122.3153324,47.5983401
2119097,382296,Vehicle,25,Blacktop,Signals,Stopped for Traffic,No Defects,Passenger Car,2/14/2025,3924342,-122.3351346,47.61018734
2119098,382154,Vehicle,,Concrete,Flashing Red,Backing,No Defects,"Pickup, Panel Truck or Vannette Under 10,000 lbs",2/6/2025,3925940,-122.3042478,47.58592185
2119099,382296,Vehicle,25,Blacktop,Signals,Stopped for Traffic,No Defects,Passenger Car,2/14/2025,3924342,-122.3351346,47.61018734
