OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION
679530,273439,SGL-595,6TH AVE S AND S HOLGATE ST,10/10/2025,POOR
679531,273440,SGL-580,1ST AVE S AND S HORTON ST,10/10/2025,POOR
679533,273442,SGL-46,2ND AVE AND SPRING ST,5/21/2025,FAIR
679535,273444,SGL-192,FAIRVIEW AVE N AND MERCER ST,10/10/2025,GOOD
679537,273446,SGL-819,3RD AVE NW AND NW 103RD S ST,10/10/2025,FAIR
679538,273447,SGL-170,3RD AVE AND WALL ST,1/10/2025,POOR
679550,273459,SGL-851,35TH AVE NE AND NE 89TH ST,10/10/2025,FAIR
679559,273468,SGL-713,STONE AVE N AND N 130TH ST,4/28/2025,FAIR
679560,273470,SGL-710,6TH AVE S AND S FOREST ST,10/10/2025,POOR
679566,273476,SGL-610,CORSON AVE S AND EAST MARGINAL WAY S,10/10/2025,POOR
679569,273479,SGL-149,BLANCHARD ST AND WESTLAKE AVE,1/10/2025,POOR
679572,273482,SGL-584,EAST MARGINAL WAY S AND S HANFORD ST,10/10/2025,POOR
679582,273491,SGL-930,14TH AVE S AND S HILL ST,10/16/2025,FAIR
679590,273500,SGL-324,HARVARD AVE E AND E ROANOKE ST,10/10/2025,POOR
679591,273501,SGL-798,1ST AVE AND BLANCHARD ST,4/11/2025,FAIR
679593,273503,SGL-603,4TH AVE S AND S LUCILE ST,10/10/2025,POOR
679594,273504,SGL-333,21ST AVE W AND W EMERSON PL,10/10/2025,POOR
679596,273506,SGL-13,2ND AVE AND JAMES ST,10/10/2025,FAIR
679597,273507,SGL-604,1ST AVE S AND EAST MARGINAL WAY S,10/10/2025,POOR
679599,273509,SGL-461,BROADWAY AND MADISON ST,5/21/2025,POOR
679600,273510,SGL-475,MELROSE AVE AND PINE ST,10/16/2025,FAIR
679606,273516,SGL-962,4TH AVE S AND COSTCO DR,10/10/2025,POOR
679618,273527,SGL-455,7TH AVE AND MADISON ST,10/10/2025,FAIR
679621,754575,SGL-1148,ALOHA ST AND EASTLAKE AVE E,10/10/2025,
679623,760859,SGL-1150,ALASKAN WAY ATLANTIC RP AND S ATLANTIC FLYOVER,10/10/2025,
679636,823790,SGL-1167,3RD AVE AND DENNY WAY,6/2/2025,
